Total score =,55283.25
253,14520,10042,15623,10531
254,14520,15705,15190,15110
255,14520,14483,10477,10032
256,10047,12828,14758,14979
257,14861,14274,14587,15456
258,10311
259,15628,15799,12359,15748
260,14861,15698,14620,15813
261,15608,15628,15427,15808
262,14861,15597,14772,15748
263,15334,15788,15767,15797
264,10042,15621,15760,10595
265,14861,15215,13344,13345
266,10232,15786,15277,15427
267,12524,14743,15760
268,14861,15579,15766,13563
269,14861,15306,15714,10477
270,15623,15817,15427
271,15786,15534,15818,15125
272,15709,13960,15793,14459
273,15122,15621,15808,13755
274,10195,14204,15799,10588
275,15707,15322,14603
276,14861,15698,10257,15576
277,14861,14365,10194,14408
278,14861,15735,15629,13437
279,15703,15628,14454,14978
280,14861,15313,15512,15777
281,14861,15534,14893
282,10102,14982,15196,10533
283,15711,10159,15268,10533
284,15322,14274,14587,15159
285,15703,15796,10532,15146
286,15136,10232,15208,14625
287,15136,15817,10484,12054
288,13996,14373,15548,15801
289,15136,10113,15307,15549
290,15136,15201,15585,15621
291,15136,14444,15716,15749
292,15342,14021,14626,10482
293,15136,15306,15712,15717
294,15136,13977,15752,15763
295,15136,15534,10854,13340
296,15136,10008,10091,10102
297,15136,15698,15735,15791
298,15136,15191,15192,15817
299,15136,14870,14587,15138
300,15136,14043,14274,15427
301,15698,15159,15767,15769
302,15629,15454,14454,10801
303,15698,14449,15716,15799
304,15698,15597,10374,15760
305,15698,15214,13297,12496
306,14205,14385,15761,15762
307,15698,15597,13955,14578
308,14385,15752,13955,15119
309,15698,14207,15788,15776
310,15596,15040,15761,10531
311,15698,15628,15585,15771
312,10113,12246,15214,14677
313,14073,15761,15762,15796
314,15698,15725,15015,15748
315,14446,14991,15717,15163
316,15015,15511,15769,13755
317,15698,14207,12524,10374
318,14073,15786,15265,15269
319,14806,14205,15040,12496
320,15040,12822,14889,13297
321,14982,15152,15764,15797
322,14234,14435,15448,15449
323,15698,14620,14893,15813
324,15702,13088,15763,15764
325,14449,15712,15714,15628
326,15152,15208,14677,13299
327,15786,15608,15753,10606
328,15698,15628,15578,14677
329,15698,13087,15628,14578
330,15624,15752,15799,14432
331,15698,14444,14446,14449
332,14356,15817,14232,14432
333,14482,15512,15776,12893
334,15698,15713,15322,14677
335,13977,15786,14578,15753
336,15709,13424,10313,13955
337,15597,14207,15040,14238
338,15698,15752,15762,15796
339,14642,10391,10483,12054
340,15304,15040,15762,15808
341,15728,15208,15817,15801
342,15322,15753,10804,13075
343,15040,10373,10588,10589
344,15788,13955,15208,15425
345,10232,15195,15196,14793
346,15698,15401,14021,15425
347,15747,15762,15763,10531
348,12359,15585,15761,15767
349,15197,15600
350,15729,10202,15759,13297
351,15623,15628,15802,15575
352,15698,15040,15761,13297
353,14806,15702,10047,15511
354,15726,15727,14355,14356
355,15698,10290,14274,15425
356,10159,15528,15166,13774
357,15728,15729,15628,10316
358,15698,15419,14355,12893
359,15545,15331,15814,15166
360,15698,15040,15237,15761
361,10202,15759,15425
362,15159,15621,15125,15145
363,15381,15382,15786,10585
364,15698,14482
365,14791,14374,12359,15747
366,10686,15456,15781,15427
367,10853,15579,15762,15328
368,10477,12050,15801,10595
369,15628,14568,15159,15563
370,14806,15705,14376,15758
371,15699,10316,14021,15427
372,10853,15802,15817,15760
373,15699,15229,13957,15100
374,15632,15764,10531,10532
375,15795,14758,15100,15779
376,15795,14365,15168,15596
377,14791,15188,10396,10484
378,14791,15598,14605,14891
379,14043,15265,15578,15579
380,14791,15215,15436,15748
381,15597,15799,15534,10532
382,14203,15772
383,15597,15752,15736,15261
384,14791,15307,15716,15747
385,14791,15632,10772,10483
386,14791,13277,15792,15578
387,15730,15731,15600,12053
388,14791,15385,13344,13345
389,15280,14459,15747,15763
390,15727,13277,15752,15800
